question_no,question,0,1,2,3,answer,category
557,लोकनृत्य राहुल का संबंध उत्तर प्रदेश के निम्न में से किस एकक्षेत्र से है ?, पूर्वी क्षेत्र से, मध्य क्षेत्र से, बुन्देलखण्ड क्षेत्र से, पश्चिमी क्षेत्र से,2,General
558,नृत्य नाटक सूरदास एवं शंकरिया किस पेशेवर जाति से संबंध रखते हैं ?, पातर, भवाई, नट, भाण्ड,1,General
559,निम्नलिखित में से कौन सुमेलित नहीं है ?, आल्हा -महोबा, कजरी-मिर्जापुर, बिरहा - कन्नौज, रसिया - बरसाना,2,General
560,निम्नलिखित में से कौन-सा युग्म सुमेलित है ?, नकल - बिहार, अंकियानाट - असम, तमाशा - उड़ीसा, इनमें से कोई नहीं,1,General
561,निम्नलिखित में से कौन नृत्य विद्या से संबंधित नहीं है ?, चाचरी, चैती, बिहू, घूमर,1,General
562,लोक नृत्य करने वाले को कहते हैं ?, लौकिक, लोक नायक, लोक नर्तक, लोगों के साथ नाचना,2,General
563,भारतीय लोक नृत्य नहीं है ?, घूमर, डांडिया, गरबा, कथकली,3,General
564,छपेली लोक नृत्य संबंधित है ?, अरुणाचल प्रदेश, हिमाचल प्रदेश, उत्तर प्रदेश, आंध्र प्रदेश,1,General
565,निम्नलिखित नृत्यों में से गुजरात से संबंध रखने वाला नृत्य कौन-सा है ?, डांडिया, कुचीपुड़ी, बॉस नृत्य, बिदेशिया,0,General
566,किस भारतीय टेलिकॉम ऑपरेटर ने हाल ही में अपने ग्राहकों के लिए स्पीड पे(Speed Pay) की सेवा शुरू की है?, वोडाफोन, बीएसएनएल(BSNL), आइडिया सेल्युलर, भारती एयरटेल,1,General
567,निम्न में से लीप वर्ष है ?,1998,1994,1876,1758,2,General
568,इको सिस्टम शब्द का प्रयोग किसने किया ?, पि. स्तरहलर, पेंक, वि. लाल, ए. जी टेंसले,3,General
569,स्त्री -पुरुष में लिंग के आधार पर भेद न किय जाने को क्या कहते है ?, भेदभाव न करना, स्त्रियों के प्रति उदासीनता, जेंडर सबेदनशीलता, इनमें से कोई नहीं,2,General
570,भारत मे पहली बार सफेद बाघ कहाँ देखा गया ?, कोल्काता, रेवा, जलगाँव, भोपाल,1,General
571,हॅपी फेस स्पाइडर (Happy face spider) नामक मकडी कहाँ पायी जाती है ?, सब-सहारन अफ़्रीका, अफ्रिका, यूरोप, हेवाइयन आइलॅंड्स,3,General
572,"कब ""शस्त्र व्यापार संधि(Arms Trade Treaty)"" अस्तित्व में आई?"," दिसम्बर , 2014"," फरवरी, 2015"," जनवरी, 2015", उपरोक्त में से कोई नहीं,0,General
573,भारत रत्न से सम्मानित किए जाने वाले लोगों की सूची में कौन शामिल नहीं है ?, अटल बिहारी वाजपेयी, मदन मोहन मालवीय, केआर नारायणन, उपरोक्त में से कोई नहीं,2,General
574,24 दिसंबर देश में किस रूप में मनाया गया था, 29th राष्ट्रीय उपभोक्ता दिवस, सद्भावना दिवस, 1st राष्ट्रीय सुशासन दिवस, उपरोक्त सभी,0,General
575,मिशन इन्द्रधनुष  का संबंध किससे है?, टीकाकरण, अनौपचारिक कर्मचारी, इ-गवर्नेंस, महिला सुरक्षा,0,General
576,सूर्य किरण भारत और किस देश के बीच एक संयुक्त सैन्य अभ्यास है, बांग्लादेश, श्रीलंका, भूटान, नेपाल,3,General
577,TaxiforSure किसके द्वारा अधिग्रहीत किया गया है ?, मेरु कैब्स, ओला कैब्स, उबर इण्डीया, इनमें से कोई भी नहीं,1,General
578,दुनिया का पहला 3-डी मुद्रित जेट इंजन किस देश ने विकसित किया है ?, जर्मनी, ऑस्ट्रेलिया, जापान, अमेरीका,1,General
579,नालंदा विशवविधालय का संस्थापक था?, समुन्द्रगुप्त, कुमारगुप्त, स्कंदगुप्त, धर्मपाल,1,General
580,उज्जैन का प्राचीनकाल में क्या नाम था?, अवन्तिका, पाटलिपुत्र, तक्षशिला, इन्द्रप्रस्थ,0,General
581,भारत पर हूणों का आक्रमण किसके शासनकाल में हुआ था?, श्रीगुप्त, समुद्रगुप्त, स्कंदगुप्त, उपयुक्त,2,General
582,सांची का स्तूप किस शासक ने बनवाया था?, बिम्बसार, हर्षवर्धन, पुष्यमित्र, अशोक,3,General
583,अशोक के शिलालेखो को सर्वप्रथम किसने पढ़ा?, पाद्रेटी, विलियम जोन्स, जेम्स प्रिन्सेप, उपरोक्त में से कोई नहीं,2,General
584,बौद्ध धर्म के प्रचार के लिए अशोक ने किसे श्रीलंका भेजा था?, महेंद्र, संघमित्रा, उपगुप्त, महेंद्र एवं संघमित्रा दोनों,3,General
585,चन्द्रगुप्त मौर्य अपने अंतिम दिनों में किस धर्म का अनुयायी बन गया था?, जैन, शैव, बौद्ध, वैष्णव,0,General
586,हड़प्पावासी किस वस्तु के उत्पादन में सबसे आगे थे?, मुद्राएँ, कपास, कांस्य औजार, जौ,1,General
587,सिंधु घाटी सभ्यता का पत्तन नगर था ?, कालीबंगा, लोथल, मोहनजोदड़ो, हड़प्पा,1,General
588,चन्द्रगुप्त मौर्य ने अपना अंतिम समय कंहा बिताया?, तक्षशिला, उज्जैन, पाटलिपुत्र, श्रवणबेलगोला,3,General
589,कपिल मुनि द्वारा प्रतिपादित दार्शनिक प्रणाली है ?, पूर्व मीमांसा, उत्तर मीमांसा, न्याय दर्शन, सांख्य दर्शन,3,General
590,निम्न में से किसने रूस में लाल सेना का गठन किया था?, लेनिन, त्रतासकी, ट्राटस्कि, उपरोक्त में से कोई नही,2,General
591,रुसी क्रांति के दौरान चेका का गठन किसने किया ?, लेनिन, प्लेखानोव, केरेन्सकी, ट्राटस्कि,0,General
592,वैदिक काल में आर्यों के जीविकोपार्जन का मुख्य साधन था ?, शिकार, कृषि, व्यापार, शिल्पकर्म,1,General
593,निम्न में से किस क्रांति को अक्टूबर की क्रांति कहा जाता है ?, रुसी क्रांति, इंग्लैण्ड की क्रांति, अमेरिकी क्रांति, फ़्रांस की क्रांति,0,General
594,रुसी साम्राज्य को राष्ट्रों का कारागार किसने कहा था ?, लेनिन, प्लेखानोव, ट्राटस्कि, मार्क्स,0,General
595,सबसे पुराना वेद है ?, सामवेद, ऋग्वेद, यजुर्वेद, अथर्ववेद,1,General
596,हिन्द भारत की जनता के संदर्भ में `हिन्दू` शब्द का प्रथम बार प्रयोग किया था ?, रोमवासियों ने, यूनानियों ने, चीनियों ने, अरबों ने,3,General
597,प्रथम विश्व युद्ध के दौरान धुरी राष्ट्रों का नेतृत्व किसने किया ?, जर्मनी, हंगरी, आस्ट्रिया, इटली,0,General
598,इटली के एकीकरण का पैगम्बर किसे कहा जाता है ?, एमैनुएल, मेजिनी, गैरीबाल्डी, कैवूर,1,General
599,निम्न में से कौन सा राजा प्रायः जनता के सम्पर्क में रहता था?, बिन्दुसार, अशोक, चन्द्रगुप्त मौर्य, चन्द्रगुप्त विक्रमादित्य,1,General
600,लाल कुर्ती नामक सेना का गठन किसने किया ?, विक्टर एमैनुएल, गैरीबाल्डी, कैवूर, मेजिनी,2,General
601,महान सम्राट अशोक किस वंश के थे?, गुप्त, मौर्य, शुंग, पल्लव,1,General
602,यंग इटली नामक संगठन किसने बनाया ?, कैवूर, गिबर्टी, मेजिनी, गैरीबाल्डी,2,General
603,SpaceX के संस्थापक कौन है?, मैक्स लेवचिन, एलोन मस्क, ल्यूक नोसेक, पीटर थिएल,1,General
604,यश भारती सम्मान किस भारतीय राज्य सरकार द्वारा प्रदत्त है ?, पंजाब, उत्तर प्रदेश, महाराष्ट्र, उत्तराखंड,1,General
605,"किसने कविता के लिए ""खुशवंत सिंह मेमोरियल पुरस्कार"" जीता है ?", केकी एन दारूवाला, अरुंधति सुब्रमण्यम, कश्यप स्वामी, रंजीत होसकोटे,1,General
606,निम्नलिखित में से कौन प्रार्थना समाज से सम्बंधित नहीं है?, महादेव गोविन्द रानाडे, ज्योतिबा फूले, एन.जी. चन्दावरकर, आर.जी. भंडारकर,1,General
607,पाइरोमीटर (Pyrometer) निम्नलिखित में से किसके मापन में प्रयुक्त होता है?, उच्च ताप, घनत्व, आद्रता, वायुमंडलीय दाब,0,General
608,आयोडीन के टिंचर (Tincture of Iodine) का प्रयोग निम्नलिखित में से किसके लिए होता है ?, कैंसर के इलाज के रूप में, स्टार्च की उपस्थिति के निर्धारण में, एंटीसेप्टिक के रूप में, इनमें से कोई नहीं,2,General
609,निम्नलिखित में से उस स्थान का नाम बताइए जहाँ पर सूफी संत निवास करते थे?, खानकाह, पायगाह, इबादतखाना, लीवान,0,General
610,निम्न अक्षांश यानी अधिक वर्षा और उच्च अक्षांश यानी कम वर्षा इसके तथ्य के पीछे क्या कारण हो सकता है ?, समुद्र से दूरी, जलधाराएँ, ऊँचाई, वाष्पीकरण,3,General
611,सामान्यतः 600 ft समुद्र की गहराई पर जाने से कितना तापक्रम कम हो जाता है ?, 10°, 100°, 150°, 200°,0,General
612,BRICS सम्मलेन 2017 किस देश में हुआ ?," शियामेन, चीन"," मोस्को, रूस"," दिल्ली, इंडिया"," टोक्यो, जापान",0,General
613,हाल ही में ब्रह्मांड के सबसे गर्म ग्रह की खोज की गई है उस ग्रह का नाम क्या है ?, जुम्ब्स - जी 1, पेंटास्ट्रीम 11-सी, केल्ट 9-बी, सोलर पॉवर - K1,2,General
614,भारत के पहले मानवरहित टैंक का नाम क्या है?, M60 Patton, Muntra, M60 Patton, Panzer 61,1,General
615,गुप्त वंश ने लगभग कितने वर्षों तक शासन किया ?, 300 वर्षों तक, 800 वर्षों तक, 600 वर्षों तक, 100 वर्षों तक,0,General
616,किस गुप्त शासक ने लिच्छवी वंश की राजकुमारी से विवाह किया ?, विक्रमादित्य, चन्द्रगुप्त प्रथम, स्कन्दगुप्त, समुद्रगुप्त,1,General
617,किस गुप्त राजा को विक्रमादित्य के नाम से भी जाना जाता था ?, समुद्रगुप्त, कुमारगुप्त, चन्द्रगुप्त प्रथम, चन्द्रगुप्त द्वितीय,3,General
618,महरौली (दिल्ली) के लौह स्तम्भ में किस शासक के विषय में जानकारी मिलती है?, कुमारगुप्त, विक्रमादित्य, चन्द्रगुप्त प्रथम, स्कन्दगुप्त,1,General
619,जनपद की जानकारी मिलती है ?, मेहरौली लौह-स्तम्भ से, बौद्ध साहित्य से, अर्थशास्त्र से, मठों से,1,General
620,वज्जि महाजनपद क्या था?, व्यापारिक राज्य, गणतंत्रीय, सैनिक राज्य, इनमें से कोई नहीं,1,General
621,जनपद में जाति-प्रथा किस पर आधारित थी?, धर्म पर, जन्म पर, व्यवसाय पर, आय पर,1,General
622,महाजनपद के गाँव का प्रधान क्या कहलाता था?, मुखिया, जिला अधिकारी, ग्राम-प्रमुख, इनमें से कोई नहीं,2,General
623,सूर्य के चारों तरफ एक परिक्रमा के लिए निम्न में से कौन-सा एक ग्रह अधिकतम समय लेता/लेती है?, पृथ्वी, मंगल, वृहस्पति, शुक्र,2,General
624,सुपर मून के समय चाँद लगभग कितना प्रतिशत बड़ा दिखता है?,5%,14%,50%,20%,1,General
625,"निम्न में किसने ""आइने-अकबरी"" व ""अकबरनामा"" नामक पुस्तक लिखी है ?", फैजी ने, हकीम हुमाम ने, अबुल फजल, अब्दुल रहीम,2,General
626,किस मुगल शासक ने दिल्ली में लाल किला बनवाया था ?, औरंगजेब, जहांगीर, अकबर, शाहजहां,3,General
627,दिल्ली किस नदी के किनारे पर बसी हुई है ?, सतलज, यमुना, मंदाकिनी, व्यास,1,General
628,दिल्ली का पहला अखबार कब प्रकाशित हुआ था ?, 1836 ई., 1830 ई., 1827 ई., 1825 ई.,0,General
629,देश में दिल्ली हरियाली में कौन-से स्थान पर है ?, प्रथम, दूसरा, तीसरा, चौथा,3,General
630,निमन्लिखित में कौन सी नदी विभ्रंश घाटी से होकर गुजरती है?, ताप्ती, व्यास, गोदावरी, कृष्णा,2,General
631,रिहंद बांध किस राज्य में है?, पंजाब, उत्तर प्रदेश, महाराष्ट्र, बिहार,1,General
632,गुप्त वंश के किस शासक ने हूणों को परास्त किया?, स्कन्दगुप्त, रामगुप्त, समुद्रगुप्त, चंद्रगुप्त द्वितीय,0,General
633,किसको ” भारत का उद्धारक व स्थानीय स्वशासन का जनक ” कहा जाता है ?, लार्ड हेन्स्टिन, लार्ड पैट्रिक, लॉर्ड रिपन, लार्ड लिटन,3,General
634,वल्लभाचार्य किस सम्प्रदाय के संस्थापक हैं?, अद्वैत, द्वैताद्वैत, शुद्धाद्वैत, विशिष्टाद्वैत,2,General
635,चौपाई के चारों चरणों में कितनी मात्राएँ होती है?, तेरह, चौदह, सोलह, सत्रह,2,General
636,भारतीय सेना का निर्माण कब हुआ था?, 1747 ई. में, 1847 ई. में, 1749 ई. में, 1748 ई. में,1,General
637,संवैधानिक सभा की स्थापना किसके द्वारा हुई?, क्रिप्स प्रस्ताव, मांउटबेटन योजना, कैबिनेट मिशन योजना, इनमें से कोई नहीं,2,General
638,शारदा अधिनियम किससे सम्बन्धित था?, भारतीय साहित्य, भारतीय विवाह व्यवस्था, भारतीय अर्थव्यवस्था, भारतीय प्रशासन,1,General
639,अन्तरिम सरकार में मुस्लिम लीग के सदस्य शामिल थे?,4,5,9,7,2,General
640,ब्रिटिश शासन द्वारा भारत से धन निष्कासन के बारे में सर्वप्रथम किसने लिखा?, तिलक, दादा भाई नौरोजी, रमेशचन्द्र गुप्ता, अरविंद घोष,2,General
641,‘मूर्तिदेवी साहित्य पुरस्कार किसने शुरू किया है?," मानव संसाधन विकास मंत्रालय, केन्द्रीय सरकार", भारतीय विधा भवन, भारतीय ज्ञानपीठ ट्रस्ट, साहित्य अकादमी,2,General
642,इकबाल सम्मान मध्य प्रदेश में किस क्षेत्र के लिए दिया जाता है?, साम्प्रदायिक सदभावना, रचनात्मक उर्दू लेखन, शौर्य, राष्ट्रीय एकता,1,General
643,राष्ट्रिय आय निकालने के लिए एन एन पी में से निम्नलिखित में से किसको घटाया जाता है ?, पूंजी उपभोग छूट, अप्रत्यक्ष कर, इमदाद, ब्याज,1,General
644,"वह स्थानीय शासक कौन था, जिससे मई 1498 में कालीकट में पहुँचने पर वास्कोडिगामा मिला था ?", सिराज, भगवान लाल, राजेन्द्रन नायर, जामोरिन,3,General
645,"भारत में ऐसा कौन - सा पहला राज्य है , जहाँ पंचायत राज प्रणाली लागू की गई थी ?", महाराष्ट्र, तमिलनाडु, आँध्रप्रदेश, राजस्थान,3,General
646,निम्नलिखित में से किस शहर में मार्च 2013 में देश का सबसे पहला महिला डाकघर स्थापित किया गया है ?, बंगलुरु, नई दिल्ली, चेन्नई, मुंबई,1,General
647,निम्नलिखित में से कौन सी भारत में सबसे पुरानी चट्टान है ?, शिवालिक, भारत गंगा का मैदानी क्षेत्र, हिमालय, अरावली,0,General
648,"वह जोत जो किसानों को कम से कम एक जीविका तो उपलब्ध कराती है, कहलाती है ?", अनुकूलतम जोत, जीविका जोत, आर्थिक जोत, सीमान्त जोत,2,General
649,महाभाष्य लिखा था ?, मनु ने, बाण ने, गार्गी ने, पतंजलि ने,3,General
650,बाबर की पुत्री का क्या नाम था?, गुलबदन बेगम, रजिया बेगम, सायरा बेगम, रुक्सार बेगम,0,General
651,औरंगजेब का मकबरा कहाँ पर हैं?, आगरा, दिल्ली, औरंगाबाद, कानपुर,2,General
652,शाहजंहा की बेगम मुमताज महल (जिसकी याद में ताजमहल बनवाया गया था) की मृत्यु कहाँ पर हुई थी?, कानपुर, नागपुर, दिल्ली, बुरहानपुर,3,General
653,किस बादशाह ने न्याय के लिए जंजीर लगवाया था?, इब्राहिम लोदी, अकबर, जहांगीर, बाबर,1,General
654,अकबर और महाराणा प्रताप के मध्य हुए युद्ध को किस नाम से जाना जाता हैं?, प्लासी का युद्ध, पानीपत का युद्ध, कुरुक्षेत्र का युद्ध, हल्दीघाटी का युद्द्ध,3,General
655,पानीपत का दुसरा युद्ध किनके मध्य हुआ था?, अकबर और महाराणा प्रताप, अकबर और हेमू, बाबर और महाराणा प्रताप, बाबर और हेमू,1,General
656,हुमायूं ने शेर शाह सूरी पर किस सन में विजय प्राप्त की थी?,1550,1540,1650,1450,1,General
657,भारत में मुग़ल साम्राज्य की स्थापना किस सन में हुई थी?,1535,1455,1250,1526,3,General
658,भारत का प्रथम मुग़ल शासक कौन था?, बाबर, अकबर, शाहजंहा, औरंगजेब,0,General
659,अंग्रेजो से मुक्ति से पाने के लिए आजाद हिन्द की फौज की स्थापना किसने की थी?, भगत सिंह, चंद्रशेखर आजाद, महात्मा गाँधी, राजगुरु,1,General
660,झाँसी की रानी लक्ष्मी बाई और अंग्रेजो के मध्य युद्ध किस सन में हुआ था?,1857,1858,1855,1902,1,General
661,ईस्ट इंडिया कंपनी ने टीपू सुलतान पर किस सन में विजय प्राप्त की थी?,1897,1795,1792,1752,2,General
662,ईस्ट इण्डिया कम्पनी का भारत में पहला व्यापार केन्द्र किस स्थान पर बना?, बंगाल, सूरत, कलकत्ता, नागपुर,1,General
663,ईस्ट इण्डिया कम्पनी को भारत में व्यापार करने की अनुमति किस सन् में मिली?,1715,1625,1650,1750,1,General
664,भारत में चावल कृषित क्षेत्र में उत्तर प्रदेश की कोटि है ?, प्रथम, चतुर्थ, तृतीय, द्वितीय,0,General
